trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
206,False,"{'a': 0.05, 'e': 3.363309518571897e-05}",25,9,26.83770045952721,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.05, 'e': 3.1992789777689165e-05}",20,0,34.091959843412496,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
208,False,"{'a': 0.05, 'e': 3.0432483008403625e-05}",30,9,31.406204138896246,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.05, 'e': 2.8948273298211517e-05}",20,9,15.402871777620723,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.05, 'e': 2.7536449349747158e-05}",20,13,13.239226493447783,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
211,False,"{'a': 0.05, 'e': 2.619348086775303e-05}",20,0,26.12289210116422,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
212,False,"{'a': 0.05, 'e': 2.491600973150316e-05}",25,0,36.682067293274365,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
213,False,"{'a': 0.05, 'e': 2.3700841597751968e-05}",25,17,13.958426461813243,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.05, 'e': 2.254493791321217e-05}",25,0,31.381056646863655,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
215,False,"{'a': 0.05, 'e': 2.1445408316589164e-05}",30,14,24.24657572080663,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.05, 'e': 2.0399503411171922e-05}",25,3,35.51761745231284,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.05, 'e': 1.9404607889909406e-05}",30,20,14.933491963959092,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.05, 'e': 1.8458233995780558e-05}",25,4,35.94957289701758,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.05, 'e': 1.755801530110584e-05}",20,0,26.056574004799824,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
220,False,"{'a': 0.05, 'e': 1.670170079024566e-05}",20,6,22.366661701013932,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.05, 'e': 1.588714923088849e-05}",25,12,25.214513488009644,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.05, 'e': 1.5112323819855006e-05}",30,0,40.47397624913911,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
223,False,"{'a': 0.05, 'e': 1.4375287090029125e-05}",30,12,31.070002256233135,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
224,False,"{'a': 0.05, 'e': 1.3674196065680938e-05}",25,11,24.30251945244708,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.05, 'e': 1.300729765406762e-05}",25,2,30.57336255925381,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.05, 'e': 1.2372924261788221e-05}",25,3,31.379605357509433,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.05, 'e': 1.1769489624931723e-05}",30,13,29.790123803428383,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.05, 'e': 1.119548484259094e-05}",20,3,29.60907273905771,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.05, 'e': 1.0649474603824239e-05}",25,14,19.37693983198207,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.05, 'e': 1.013009359863071e-05}",20,0,25.859117766466756,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
231,False,"{'a': 0.05, 'e': 9.636043103963851e-06}",20,16,6.556456113235193,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,12,19.057456295106647,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,0,43.470372697704235,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",25,6,27.43544330033744,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,10,18.360694980657087,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,5,28.529810008603175,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,13,14.963498523457151,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,9,18.089825050718645,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",30,2,47.971600204470406,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",30,7,37.193413173088544,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,16,8.409674598405465,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
